Gene.symbol,adj.P.Val
NIN,0.1922
CLIC4,0.1926
SHISA3,0.1926
PLEKHH2,0.193
RAB40C,0.1948
MYRF,0.1948
ID2,0.1948
ZNF594,0.1958
KLHDC2,0.1958
FOXO4,0.1958
SUCNR1,0.1958
AKAP12,0.1974
DEPTOR,0.2004
FOXA1,0.2004
MRPL33,0.2004
SYK,0.2004
ADGRG7,0.2004
CAV2,0.2015
TCP11L1,0.2015
SLC40A1,0.2027
SSH3,0.2067
MSRB3,0.2081
SPRED2,0.2081
MARCKSL1,0.2081
FBXL13,0.2081
TGM5,0.2081
ECM2,0.2081
TPPP,0.2081
C12orf57,0.2084
RUNX1,0.2084
NFKBIZ,0.2091
FAM214A,0.2091
BAIAP2L2,0.2091
SERINC2,0.2099
TGM2,0.2102
NEU3,0.2102
PRR15L,0.2106
F3,0.2112
LAMC2,0.2112
S1PR3,0.2112
RBP1,0.2143
OSMR,0.2149
C19orf33,0.2154
SMIM3,0.2163
LRIG1,0.2164
LSAMP,0.2169
PRUNE2,0.2169
RRAD,0.2194
OSBPL9,0.2194
ADD2,0.2194
GRB7,0.2194
TMEM81,0.2221
SERPINA3,0.2225
TSPAN13,0.2232
MAP2K3,0.2236
PMEPA1,0.2245
LBH,0.2258
NUDT6,0.2271
TMEM238,0.2271
LYAR,0.2271
ENPP2,0.2271
LPCAT2,0.2271
LOC101928516,0.2271
TMEM169,0.2271
PLA2G4F,0.2271
MAP1S,0.2299
CTH,0.2299
CAV2,0.2299
ERBIN,0.2299
RTKN,0.2301
KLHL13,0.2301
CGNL1,0.2302
FAR1,0.2332
ZNF23,0.2353
IGFBP5,0.2353
BCL9L,0.23600000000000002
TRIM15,0.2363
CPXM1,0.2363
HMGA2,0.2366
CXCR4,0.2371
SOAT1,0.2371
NBL1,0.2371
ADTRP,0.2371
PKIA,0.2371
BDNF,0.2371
MUC13,0.2384
IL32,0.2384
SENP5,0.2384
SLCO1B3,0.2392
CYB561,0.2392
NUDT6,0.2392
ZDHHC11,0.2392
CANX,0.2392
FSTL1,0.2392
WDR76,0.2392
KRT7,0.2392
BIRC3,0.2392
DTL,0.2392
SFN,0.2395
GORAB,0.2415
TSPAN8,0.2424
IL6R,0.2424
DDR1,0.243
ARL4A,0.243
SPANXB1,0.243
MPL,0.243
FAM83H,0.243
NOP14,0.243
KLF13,0.243
TCEAL1,0.243
RBMS2,0.2453
MSMO1,0.2474
CINP,0.2483
STYX,0.2485
COL17A1,0.2497
TMEM63A,0.2508
ASPH,0.2508
UCP2,0.2508
ZNF512,0.2518
ACSM3,0.2518
NUCKS1,0.252
C19orf43,0.252
EEF1A2,0.2534
RPS3A,0.2537
PTHLH,0.2537
COQ8A,0.2537
CDK10,0.2537
COL17A1,0.2537
C18orf54,0.2537
SLC38A11,0.2537
B3GALT5,0.2537
VIM,0.2537
ACSM3,0.2553
FCGRT,0.2553
SLC39A8,0.2565
PALLD,0.2565
SCML1,0.2565
SPHK2,0.2565
GLT8D2,0.2567
S100A14,0.2589
RAC1,0.2589
OSBPL5,0.2589
DPYD,0.2589
ASPH,0.2596
LRCH2,0.2599
TRIM47,0.2607
HSPA2,0.2615
PDK3,0.2631
PLS3,0.264
MFAP5,0.264
ALCAM,0.2645
ZNF425,0.2645
SRGN,0.2651
GPR35,0.2651
ACSS1,0.2651
PPP1R3C,0.2651
SNAP25,0.2651
P3H2,0.2651
ANXA2R,0.2652
GFOD1,0.2652
FKBP7,0.2652
PLS3,0.2665
VKORC1,0.2678
CD34,0.2686
NPC1L1,0.2686
RIMKLB,0.2686
IL1RAPL1,0.2686
CMSS1,0.2687
ST6GAL1,0.2696
ARRDC3,0.27
COX7A1,0.27
MGARP,0.27
CHL1,0.27
DCAF12L1,0.27
PKIA,0.27
ADGRG2,0.2701
PHF11,0.2703
CXXC5,0.2706
GCOM1,0.2707
JUP,0.2707
FGFR3,0.2721
ZBTB7C,0.2726
TUBB3,0.2736
MED8,0.2736
RPL39L,0.2736
HOXC6,0.2736
ARL14EPL,0.275
AKR1B1,0.275
PRDM12,0.275
UGT2B7,0.2752
GALR2,0.2769
RECK,0.2769
HNRNPA1P33,0.2769
ZIK1,0.2769
MEP1B,0.2769
CASZ1,0.2771
CDH3,0.2776
IRF2BP2,0.2782
SMTN,0.2782
DST,0.2782
RAP2A,0.2786
RASSF5,0.2789
ATP6V1C2,0.2793
NUDT6,0.2793
GM140,0.2798
SLC43A2,0.2798
ZNF300,0.2809
OSTM1,0.2809
UGT2B15,0.2809
CTH,0.2813
RGS17,0.2821
NUPR1,0.2825
LOC729966,0.2825
ELOVL5,0.2825
DIAPH3,0.2825
INPPL1,0.2834
TAGLN,0.2858
STXBP5,0.2866
LAMC2,0.2894
DCBLD2,0.2895
PTGIS,0.2911
F3,0.2939
ZNF365,0.2957
PFKFB4,0.2957
CA12,0.2958
BRE,0.2958
DNAJB5,0.2959
STARD3,0.2959
C7orf57,0.2959
SEL1L3,0.2959
TRIM41,0.2959
NTNG1,0.2959
SMOC2,0.2959
WDR38,0.2959
TGM3,0.2976
SEPHS2,0.2983
NPNT,0.2983
STK31,0.2983
ITGAV,0.3006
GMDS,0.3006
C17orf58,0.3007
COL4A5,0.3007
TMEM131,0.3007
LIFR,0.3007
PRKCDBP,0.3007
SUSD6,0.3007
SIGIRR,0.3021
FOXP1,0.3021
BICC1,0.3024
STUB1,0.3024
EPB41L2,0.3042
ADGRE1,0.3045
ST8SIA4,0.3046
ATP6V0A2,0.3061
PIP4K2A,0.3061
BEX1,0.3066
LEFTY1,0.3066
TP53I11,0.3078
CA12,0.3098
TMEM56,0.3102
HIF1A,0.3102
CAPN9,0.3102
NAPSB,0.3104
PRSS12,0.3104
OPN4,0.3104
WDR72,0.3105
MAGEA8,0.3105
C7orf49,0.3105
SIGLEC6,0.3105
AGPAT2,0.3105
ADI1,0.3105
DBT,0.3105
ZNF548,0.3105
FAM25A,0.3105
SLC24A1,0.3105
IFITM1,0.3105
PSMC4,0.3105
FGF2,0.3105
ADGRG1,0.3105
ARRB1,0.3105
OR5B21,0.3105
ASS1,0.3105
MAD1L1,0.3105
CAPRIN2,0.311
RPS6,0.3111
INTS5,0.3131
CEBPD,0.3137
ST8SIA4,0.3141
AGR2,0.3149
P4HA1,0.3158
NAV2,0.3158
CHMP2A,0.3158
RTN4,0.3163
ZNF419,0.3163
PANX1,0.3169
RTN1,0.3169
RAI1,0.3169
GATA6,0.3169
SYTL2,0.3169
RRAD,0.318
PLSCR4,0.318
NT5C2,0.318
DCBLD2,0.318
LDHA,0.318
TMEM163,0.3184
KCNK17,0.3196
SNN,0.3196
PLCH2,0.3197
RFTN1,0.3197
CMTM8,0.321
TACSTD2,0.321
EXT2,0.3211
LYAR,0.3211
ALDH3A1,0.3211
CXCL2,0.3214
SLC1A1,0.3225
SOX13,0.3229
CALML4,0.3229
SNX12,0.3241
DNMT3B,0.3241
HIF1A,0.3258
TCTA,0.3261
RAD23A,0.3265
TMEM98,0.3265
PYGL,0.3265
IGFBP5,0.3265
PDLIM5,0.3265
ITGB1,0.3265
PGM2L1,0.3273
ERAP2,0.3281
LILRB5,0.3292
VWA5A,0.3305
ARL5B,0.3323
BCAT2,0.3323
DCLK2,0.3329
GLMP,0.3334
VAC14,0.3354
FGFBP1,0.3355
AKIRIN1,0.3355
TBPL2,0.3355
LIPG,0.3359
DDAH1,0.3363
EPS8L1,0.3363
A3GALT2,0.3369
CCNA1,0.337
RBMS1,0.3378
PSMC3IP,0.3382
ADIRF,0.3404
DIXDC1,0.3409
TSC22D1,0.3409
CALU,0.3436
GPRC5C,0.3458
HIKESHI,0.3459
PSAT1,0.3475
HK2,0.3483
CTHRC1,0.3494
MUT,0.3494
CCDC187,0.3494
GDA,0.3494
PPP1R3B,0.3494
ZNF703,0.3494
MATN3,0.3496
HSF2BP,0.3496
BNIP1,0.3499
L3HYPDH,0.3499
PHF3,0.3518
NDUFAF6,0.3518
ABCG2,0.3524
CLDN1,0.3524
COL8A1,0.3527
SDCBP2,0.3527
RNF44,0.3533
VWA2,0.3533
ATP6V0A4,0.3533
WDR13,0.3533
CEP19,0.3545
FCGR2B,0.3547
NHLRC3,0.3547
VSIG2,0.3547
GPC6,0.3547
DKK3,0.3547
MYLK,0.3548
IL6,0.3548
BRCA1,0.3549
NEK1,0.3549
LOC400743,0.3549
BEX1,0.3549
CTHRC1,0.3549
KIAA1683,0.3551
DBNDD1,0.3551
SYTL2,0.3562
VPS16,0.3562
NEK8,0.358
TTYH3,0.358
EYA4,0.358
TPI1,0.3583
INF2,0.3613
LAMC2,0.3613
SAMD9,0.3613
VCAN,0.3628
JADE3,0.3647
SERPINB8,0.3647
IL6R,0.3647
PLCL2,0.366
TFF2,0.3672
KIAA1211L,0.3672
FAM110A,0.3679
ELF2,0.3692
MCFD2,0.3692
HPS6,0.3701
RIT1,0.3701
HAL,0.3702
RAD21,0.3703
TRIM36,0.3705
AEN,0.3717
PIK3IP1,0.3721
IKBIP,0.3724
TRIB2,0.374
SPTSSA,0.3745
ZNF750,0.3745
NEDD9,0.3752
PKP2,0.3752
BANP,0.3758
DNM3,0.3758
TMEM51,0.3758
IL17RB,0.3793
USP37,0.3797
ZNF681,0.3802
SUGCT,0.3802
COX5A,0.3811
PPFIBP2,0.3819
OLFM1,0.3826
ECI1,0.3826
SMAP2,0.3828
SYNRG,0.3828
PLEKHH3,0.3829
C1S,0.3829
ARL3,0.3829
MTBP,0.38299999999999995
COMMD7,0.385
BBOF1,0.386
PTBP3,0.386
DHX9,0.386
ENPP2,0.386
IFT122,0.386
INF2,0.3866
BAMBI,0.3872
LRRK2,0.3872
LOC100506289,0.3872
SLC16A10,0.3872
GTF2E1,0.3872
PI4KAP1,0.3872
LOC100506127,0.3874
SH3GL3,0.3874
ZCCHC12,0.3877
LAMC1,0.3878
RXRG,0.3883
ACADS,0.3883
KHDRBS3,0.3883
SLC30A2,0.3883
PTHLH,0.3887
VRK3,0.3889
TRAF5,0.3889
C1orf54,0.3905
CCDC127,0.3907
GJB6,0.3907
RTKN,0.3907
CD70,0.3914
GK,0.3916
FAM126B,0.3916
NTNG1,0.3916
PDZK1IP1,0.3916
RER1,0.3917
HERC6,0.3917
PARP9,0.3917
PDCL,0.3917
TTTY19,0.3935
KATNAL1,0.3935
SHB,0.3935
GSG1L,0.3943
HOXA5,0.3948
PNPO,0.3948
ATAD1,0.3948
CHODL,0.3965
HGD,0.3965
POLR2G,0.3965
NKAIN4,0.39899999999999997
SLC40A1,0.3992
BTNL9,0.3994
TTTY11,0.3996
COQ6,0.4002
IDO1,0.4002
SLC47A2,0.4014
NPR3,0.4026
STK38,0.4026
FBLN5,0.4026
ABR,0.4026
LAMA3,0.4026
CTH,0.4034
CLIP1,0.4034
ATP9A,0.4034
TIFA,0.4034
PPP1R13B,0.4042
PCDHA3,0.4048
ALDH4A1,0.4048
FHL2,0.4048
DNAJA3,0.4048
WDPCP,0.4048
NSUN5P2,0.4048
GADD45A,0.4048
COASY,0.4048
SPTBN2,0.4048
GPAM,0.4048
TMEM213,0.4057
DHX9,0.4057
FERMT2,0.4057
C19orf18,0.4057
CANX,0.4057
ADGRE5,0.4057
ERVV-1,0.4088
TRIM10,0.4088
ABHD12B,0.4088
PRR3,0.4088
SCD5,0.4117
FDFT1,0.4117
RUNDC3B,0.4124
ATP6AP1,0.4124
CD40,0.4124
HERC3,0.4131
KDELR3,0.4131
TTC9B,0.4133
NDRG4,0.4133
TBC1D2,0.4139
KRT17,0.4139
RNF217,0.4147
BHLHE41,0.4147
KRR1,0.4147
TMEM120A,0.4147
C10orf54,0.4147
TPGS2,0.4147
REPS2,0.4147
TCF19,0.4148
CD200,0.4148
PNPLA2,0.4148
GFPT1,0.4148
CGN,0.4156
POGLUT1,0.4161
ZNF598,0.4165
RAB11FIP4,0.4167
NEDD9,0.4167
AES,0.4172
UBAP2,0.4172
VAMP3,0.4172
CCT3,0.4185
BCL7C,0.4188
PDS5B,0.4188
KCNAB3,0.4195
HIVEP3,0.4195
SLC3A1,0.4195
TRIM15,0.42100000000000004
NFKBIE,0.42100000000000004
UBL5,0.4221
GPATCH4,0.4221
PIGY,0.4221
BAIAP3,0.4221
HPS5,0.4225
RNLS,0.4225
SYNJ1,0.4225
SLC12A8,0.4227
LIPC,0.4227
DPYSL3,0.4233
FLRT3,0.4233
LRP8,0.4233
VTA1,0.4233
WWC3,0.4233
ENTPD6,0.4233
SPAG8,0.4233
LBX1,0.4233
CDA,0.4246
C4orf19,0.4246
NR2F1,0.4249
PPL,0.4264
BTG1,0.4264
COG7,0.4264
VMP1,0.4264
APOBEC3B,0.4268
GLRX,0.4268
SPON1,0.4268
SMAD2,0.4275
FLJ41455,0.4275
BCOR,0.4275
BCL6,0.4275
UBALD1,0.4287
WNK2,0.4298
MC1R,0.43
MDK,0.43
CAMK2B,0.4345
ZMYM6,0.4354
PPP4R4,0.4359
ATAT1,0.4364
ARAP3,0.4385
RBMS1,0.4389
APOL3,0.4389
DRAM1,0.4389
AXL,0.4389
CELA3A,0.4392
AK4,0.4392
RASEF,0.4393
IQCB1,0.4393
AXDND1,0.4402
LRIG1,0.4404
C1R,0.4407
SLC27A2,0.4417
PARVG,0.4419
RBM38,0.4419
UBR1,0.4423
CFAP44,0.4423
MRS2,0.4423
SLC35F3,0.4437
USF2,0.4437
VIL1,0.4447
SDCBP2,0.4447
ZNF473,0.4469
TPMT,0.447
PDLIM5,0.447
IKBIP,0.447
THBS1,0.447
CLIC4,0.447
ICAM2,0.447
GATS,0.447
GOLM1,0.447
PPP1R1B,0.447
TM6SF2,0.4473
POC1B,0.4473
SEPT10,0.44799999999999995
FREM1,0.44799999999999995
PGAM1,0.4482
NCF2,0.4482
ACTR8,0.4482
DDIT4L,0.4483
TMPRSS4,0.4483
ARL4A,0.4483
FBXO32,0.4484
AHI1,0.4486
COMMD8,0.4493
LGALS1,0.451
ABLIM1,0.451
ZP1,0.451
ARHGAP8,0.451
DDX39B,0.4522
NPLOC4,0.4528
PDPK1,0.4528
BANP,0.4528
AP3S1,0.4541
MAGEE2,0.4541
HJURP,0.4552
BBS2,0.4565
MAPKAP1,0.4577
EPCAM,0.4599
UBOX5,0.4613
MID1,0.4613
PDGFC,0.4619
OR52I2,0.462
RASSF1,0.4621
AGR3,0.4623
WDR35,0.4623
PKN1,0.4625
ERP27,0.4628
NOMO1,0.4628
UBALD2,0.4628
ZNF260,0.4633
CCDC18,0.4633
HPN,0.4642
ESPN,0.4642
LRMP,0.4647
IGFBP6,0.4647
MTAP,0.4647
MZF1,0.4647
SLC43A3,0.4647
ZWINT,0.4647
DYNLRB1,0.4647
DLL3,0.4647
DAGLA,0.4647
RNF183,0.4647
MGST2,0.4647
UPF3B,0.4647
FOXS1,0.4647
ZNF114,0.4658
SLFN11,0.4658
SERP1,0.4658
NOSIP,0.4658
SLC4A1AP,0.4658
RXRA,0.4658
SPINT1,0.4658
ELOVL6,0.4658
ENO2,0.4658
MCU,0.4658
GTPBP6,0.4658
PRRX2,0.4659
CEP152,0.4659
ABHD12,0.4659
ZMAT5,0.4659
ZNF70,0.4659
GABRR3,0.4659
AP1B1,0.4659
ASS1,0.4659
EIF5A2,0.4659
GOLT1A,0.4659
UPF1,0.4659
GOLGA7,0.4659
TMCO4,0.4659
SEMA3C,0.4659
ALAD,0.4659
TOP1P2,0.4659
PCOLCE,0.4659
AP1S2,0.4659
UBQLNL,0.466
TMEM191B,0.4681
CXADR,0.4684
SLC39A8,0.4684
DIDO1,0.4684
HPSE,0.4691
XDH,0.4691
OGDHL,0.4691
LRP8,0.4691
EPG5,0.4691
TOLLIP,0.4691
MANBA,0.4691
RPA4,0.4691
GOLIM4,0.4693
NIPA2,0.4693
CD6,0.4693
TVP23C,0.4693
MRPS26,0.4693
ADGRV1,0.4713
NINJ2,0.4715
STARD13,0.4715
KLF9,0.4715
SLC35B4,0.4715
SLC5A12,0.4715
UBXN6,0.4722
TESC,0.4722
TFCP2L1,0.4725
FXR1,0.4727
NPDC1,0.4727
GJB2,0.4727
RBMS1,0.4727
UBN1,0.4727
XPNPEP2,0.4727
BRD2,0.4727
FZD7,0.4727
HAMP,0.4727
ALDH7A1,0.4727
NAA50,0.4727
SUCLA2,0.473
FYN,0.473
ISL1,0.4736
CCNB1IP1,0.4741
RPIA,0.4742
NR0B2,0.475
SLC13A5,0.475
EXOC2,0.4763
C10orf90,0.4785
FRMD6,0.4803
COG5,0.4803
ZFP82,0.4803
CDCA4,0.4803
PMPCA,0.4803
ADAP1,0.4804
RFX3,0.4805
CNIH3,0.4805
ANGEL2,0.4805
ALDOC,0.4821
UPF3B,0.4821
SLC9A1,0.4821
C1orf106,0.4821
SYTL1,0.4821
MYB,0.4824
ZNF385B,0.4828
USP10,0.483
CASC1,0.4847
CSRP1,0.4847
RNF219,0.4847
GRB14,0.4847
CHMP1B,0.4848
FXYD3,0.4862
IFI16,0.4862
ZBED1,0.48700000000000004
MRPS12,0.48700000000000004
ATP1A2,0.4873
AGPS,0.4881
AXL,0.4883
ART3,0.4889
GPM6A,0.4898
TNFRSF21,0.4898
PRKAB1,0.4907
MED13L,0.4908
SLC7A4,0.4908
CECR1,0.4908
EDEM2,0.4908
E2F5,0.4908
DGKH,0.4908
PLPP2,0.4908
SMARCB1,0.4908
NOC3L,0.4908
ARRDC4,0.4914
KCNH6,0.4917
ZNF446,0.49200000000000005
MGLL,0.49200000000000005
ZNF471,0.49200000000000005
SLC22A4,0.49200000000000005
ISPD,0.4922
UBE4B,0.4931
GALNT4,0.4931
MBTPS2,0.4954
DCPS,0.4956
IGFBP3,0.496
MTX1,0.496
ANO4,0.4962
DNAH5,0.4962
GSTA1,0.4962
PDE1A,0.4962
ECHS1,0.4962
AFAP1L2,0.4962
FXYD2,0.4962
LGI4,0.4962
PLK2,0.4967
MYL6,0.4967
EFHD2,0.4969
GSR,0.4974
KHDRBS3,0.4975
ALG8,0.4981
NR2F2,0.4982
GFRA4,0.4982
SLC28A2,0.4982
RPS15,0.4982
NRG1,0.4982
CRB3,0.4985
FGF2,0.4985
SCHIP1,0.5001
BAG3,0.5001
FAM155A,0.5001
RHOB,0.5004
PPP1R15A,0.5004
MXD4,0.5006
VSIG8,0.5006
SSR1,0.5006
SMAD6,0.5006
BCAP29,0.5006
ABCG1,0.5006
AQP12A,0.5006
PPP1R8,0.5006
OR4D1,0.5006
TOMM40L,0.5006
SPINK1,0.5006
ZCRB1,0.5013
RFX1,0.5027
PLP1,0.5027
KERA,0.5029
STAT6,0.5029
SLC44A2,0.5029
CCDC94,0.5029
GPX2,0.5029
MSRB1,0.5029
NUP160,0.5039
NTN4,0.5039
ARRB1,0.5039
COL5A1,0.5049
SERPINB1,0.5049
SLC35A2,0.5049
NR3C1,0.5049
ZBTB21,0.5049
GSE1,0.5049
NUP205,0.5049
PRR4,0.5049
MAGED2,0.5049
STRADB,0.5049
CCDC50,0.5049
C18orf54,0.5049
GFRA3,0.5049
BNIP2,0.5049
FEZ2,0.5049
ITGB1,0.5049
AIM2,0.5049
DENND2A,0.5049
PIK3R1,0.5049
MFSD6,0.5049
MANSC1,0.5049
VAT1,0.505
GPR65,0.5053
MYH14,0.5053
PDE4D,0.5054
PACRGL,0.5057
IGFBP3,0.5057
NCAPH2,0.5057
SYCP1,0.5058
SH2B1,0.5068
SNU13,0.5072
LY96,0.5072
COPE,0.5072
SDHAP1,0.5072
ALG8,0.5072
HNRNPU,0.5072
FBXO7,0.5072
PIM3,0.5072
SAMD7,0.5082
PRKG2,0.5082
NPTN,0.5082
TMEM184A,0.5082
PHLDA1,0.5082
VPS41,0.5082
DIO1,0.5082
ELF5,0.5092
HS3ST3A1,0.5092
DEPTOR,0.5092
NUPR1,0.5092
CHRNB3,0.5092
SPR,0.5092
GALNT1,0.5092
LINC01050,0.5092
NME1,0.5092
PLTP,0.5092
APOL6,0.5092
C1orf53,0.5092
RASSF6,0.5092
NANP,0.5092
DUSP6,0.5092
SULT1A1,0.5092
CA11,0.5092
DUSP1,0.5092
FOXP2,0.5092
TTC12,0.5105
IGIP,0.5105
KLF2,0.5105
RAB3IP,0.5115
DCAF12L1,0.512
RAPGEF1,0.512
NAA30,0.5127
LOC105378052,0.5128
PDIA2,0.5138
ATP5B,0.5139
ETS1,0.5142
SKAP1,0.5144
E2F7,0.5145
FUT10,0.5145
DPAGT1,0.5145
GCHFR,0.5145
TMEM64,0.5145
PDZD7,0.5153
ADM,0.5153
SDCBP2,0.516
RAB24,0.516
PPAT,0.516
PAICS,0.516
GLOD4,0.516
LGMN,0.516
RITA1,0.516
PRKCZ,0.516
EPCAM,0.5163
ARID3B,0.5163
SRP72,0.5163
PSAP,0.5163
ZFP36L1,0.5167
SPG7,0.5167
SOD2,0.5167
CD2BP2,0.5167
DUSP10,0.5172
TTLL1,0.5172
AKAP14,0.5172
WRN,0.5172
ZNF483,0.5172
SERPINB4,0.5172
LRRC31,0.5172
AUNIP,0.5172
SH3RF1,0.5172
ZFP36L2,0.5172
FHL2,0.5172
SLC39A9,0.5172
FAM65A,0.5172
OSBPL5,0.5172
CXCL16,0.5172
GALE,0.519
WWC2-AS1,0.519
ATF6,0.519
TBL1X,0.519
