ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_1784602	0.0427	4.20e-05	6.7164666	2.31623	1.07785105	CDKN1A	cyclin dependent kinase inhibitor 1A
ILMN_1686664	0.0454	4.65e-05	-6.6380162	2.23243	-0.94773567	MT2A	metallothionein 2A
ILMN_1766499	0.0454	4.65e-05	-6.6365656	2.23087	-0.90722465	HSPA2	heat shock protein family A (Hsp70) member 2
ILMN_1713995	0.0455	4.75e-05	6.6209703	2.2141	1.0431044	SCNN1A	sodium channel epithelial 1 alpha subunit
ILMN_1655613	0.0476	5.07e-05	6.5703657	2.15938	0.83726233	GSTA2	glutathione S-transferase alpha 2
ILMN_1659913	0.0518	5.63e-05	6.4913624	2.07313	1.0647665	ISG20	interferon stimulated exonuclease gene 20
ILMN_1687583	0.0518	5.73e-05	-6.4771229	2.05748	-1.32185023	CAV1	caveolin 1
ILMN_1666733	0.0589	6.64e-05	-6.3668323	1.93512	-1.01993743	CXCL8	C-X-C motif chemokine ligand 8
ILMN_1685403	0.0609	6.99e-05	-6.3280835	1.89166	-1.28187145	MMP7	matrix metallopeptidase 7
ILMN_1675009	0.0697	8.42e-05	-6.1902401	1.73503	-0.68199173	NMUR2	neuromedin U receptor 2
ILMN_1669410	0.0697	8.46e-05	6.1862405	1.73044	1.42096872	CHGA	chromogranin A
ILMN_2143685	0.0697	8.56e-05	6.177967	1.72093	0.57405307	CLDN7	claudin 7
ILMN_1663080	0.0697	8.56e-05	6.1775858	1.72049	0.92082937	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
ILMN_1727815	0.0721	9.08e-05	-6.1345535	1.67085	-1.18287491	CFI	complement factor I
ILMN_1709747	0.0721	9.39e-05	-6.1103338	1.64278	-0.64382754	EXOG	endo/exonuclease (5'-3'), endonuclease G-like
ILMN_1719975	0.0721	9.41e-05	6.108137	1.64023	0.65371288	HOXC4	homeobox C4
ILMN_1775170	0.0721	9.53e-05	-6.0995974	1.6303	-0.56710379	MT1X	metallothionein 1X
ILMN_1774375	0.0721	9.61e-05	6.0932632	1.62293	1.18156144	SMIM24	small integral membrane protein 24
ILMN_2334193	0.0723	9.85e-05	-6.0751065	1.60177	-0.77083128	SLC22A2	solute carrier family 22 member 2
ILMN_1773395	0.0723	9.96e-05	6.0669166	1.5922	0.80687382	RDH5	retinol dehydrogenase 5
ILMN_1666191	0.0723	1.01e-04	6.0570918	1.58072	0.93304102	KLK13	kallikrein related peptidase 13
ILMN_1757639	0.0723	1.02e-04	6.0477193	1.56974	0.51404938	SPTSSB	serine palmitoyltransferase small subunit B
ILMN_1796734	0.0728	1.09e-04	-6.0036043	1.51788	-0.68174744	SPARC	secreted protein acidic and cysteine rich
ILMN_1727479	0.0728	1.09e-04	6.000929	1.51473	0.51525985	TPRG1L	tumor protein p63 regulated 1-like
ILMN_1909886	0.0728	1.10e-04	-5.9968944	1.50996	-0.55641274		
ILMN_1726967	0.0728	1.11e-04	-5.9865413	1.49773	-0.59966926	TWSG1	twisted gastrulation BMP signaling modulator 1
ILMN_1827736	0.0728	1.12e-04	-5.9847407	1.49561	-0.47762021	PDK3	pyruvate dehydrogenase kinase 3
ILMN_1792733	0.0728	1.12e-04	5.9826096	1.49309	0.79476565	FOXA3	forkhead box A3
ILMN_1651365	0.0735	1.14e-04	-5.9661516	1.4736	-1.12165722	ZBED2	zinc finger BED-type containing 2
ILMN_1785413	0.075	1.19e-04	5.9372158	1.43922	1.17717085	ATP2C2	ATPase secretory pathway Ca2+ transporting 2
ILMN_1771599	0.075	1.22e-04	-5.9229532	1.42222	-0.64479012	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
ILMN_1802190	0.075	1.23e-04	5.9157344	1.4136	0.64546046	FOXJ1	forkhead box J1
ILMN_2384122	0.075	1.27e-04	5.8943039	1.38797	0.5256879	ADGRG1	adhesion G protein-coupled receptor G1
ILMN_1707670	0.075	1.27e-04	-5.8893454	1.38203	-1.09622861	CLDN16	claudin 16
ILMN_1654212	0.075	1.28e-04	5.8849144	1.37671	0.56018624	DOK7	docking protein 7
ILMN_1801105	0.075	1.30e-04	5.8732967	1.36277	0.61738475	PRKCD	protein kinase C delta
ILMN_1811238	0.075	1.31e-04	-5.8698964	1.35868	-2.00995178	ALPK2	alpha kinase 2
ILMN_1710644	0.075	1.33e-04	5.8598971	1.34665	0.66208043	MARVELD3	MARVEL domain containing 3
ILMN_1655614	0.075	1.35e-04	5.8488133	1.3333	0.49814542	DSP	desmoplakin
ILMN_1709346	0.075	1.36e-04	-5.8402676	1.32299	-0.50147146	CLTB	clathrin light chain B
ILMN_1751586	0.075	1.38e-04	5.8347825	1.31636	0.66604027		
ILMN_2167805	0.075	1.39e-04	5.8269716	1.30692	0.81344954	LUM	lumican
ILMN_1702310	0.075	1.39e-04	5.824788	1.30428	1.04371403	LGR5	leucine rich repeat containing G protein-coupled receptor 5
ILMN_1805543	0.075	1.40e-04	-5.8201956	1.29872	-0.55035708	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9
ILMN_1657381	0.075	1.41e-04	5.8156028	1.29316	0.62055324	RASSF6	Ras association domain family member 6
ILMN_1811234	0.0763	1.47e-04	-5.7895543	1.26154	-0.66695339	ROS1	ROS proto-oncogene 1, receptor tyrosine kinase
ILMN_1776519	0.0763	1.50e-04	5.7746254	1.24337	0.57500234	RAP1GAP	RAP1 GTPase activating protein
ILMN_2179778	0.0763	1.50e-04	-5.7721947	1.24041	-0.78759034	PHLDB2	pleckstrin homology like domain family B member 2
ILMN_1751346	0.0763	1.52e-04	5.7644931	1.23102	0.77215487	ERBB3	erb-b2 receptor tyrosine kinase 3
ILMN_2125346	0.0763	1.53e-04	5.761545	1.22742	1.22079906	MUC16	mucin 16, cell surface associated
ILMN_1730977	0.0763	1.54e-04	5.7560603	1.22072	0.70591283	SLC44A4	solute carrier family 44 member 4
ILMN_1799139	0.0763	1.56e-04	-5.7448462	1.20701	-0.55901341	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
ILMN_1677567	0.0763	1.57e-04	5.7430131	1.20477	1.865273	EPYC	epiphycan
ILMN_1691606	0.0763	1.58e-04	5.7368495	1.19722	0.76639821	LYG2	lysozyme g2
ILMN_1749553	0.0767	1.60e-04	5.7265073	1.18454	0.72486542	ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2
ILMN_1672536	0.0769	1.62e-04	5.7174306	1.1734	1.21084715	FBLN1	fibulin 1
ILMN_1694548	0.0776	1.65e-04	-5.7047736	1.15784	-0.94340411	ANXA3	annexin A3
ILMN_1654072	0.0793	1.71e-04	5.6824365	1.13031	0.59292094	CX3CL1	C-X3-C motif chemokine ligand 1
ILMN_1748124	0.0793	1.72e-04	-5.6762049	1.12261	-0.50856989	TSC22D3	TSC22 domain family member 3
ILMN_2341595	0.0795	1.75e-04	-5.6665818	1.11071	-0.82185032	KITLG	KIT ligand
ILMN_2260756	0.0795	1.77e-04	5.656447	1.09817	0.53903406	GSDMB	gasdermin B
ILMN_2184373	0.0795	1.78e-04	-5.6548382	1.09617	-1.31820946	CXCL8	C-X-C motif chemokine ligand 8
ILMN_2216815	0.0801	1.81e-04	5.6412603	1.07933	0.5423091	MAP7	microtubule associated protein 7
ILMN_1822113	0.0801	1.82e-04	5.6367403	1.07372	0.68732185		
ILMN_1683494	0.0802	1.84e-04	5.6293068	1.06448	0.65639944	TMEM154	transmembrane protein 154
ILMN_1651346	0.0832	1.93e-04	-5.5975186	1.02485	-0.45154474	TICAM2	toll like receptor adaptor molecule 2
ILMN_1661137	0.0872	2.05e-04	-5.5559976	0.97284	-0.44793717	SH3RF2	SH3 domain containing ring finger 2
ILMN_1691156	0.0872	2.05e-04	-5.5534705	0.96966	-0.89148732	MT1A	metallothionein 1A
ILMN_1660691	0.0882	2.10e-04	-5.5392598	0.95178	-0.47577575	RAB31	RAB31, member RAS oncogene family
ILMN_1756071	0.0913	2.19e-04	5.5094354	0.91415	0.55187933	MFGE8	milk fat globule-EGF factor 8 protein
ILMN_2050911	0.0916	2.25e-04	-5.4919706	0.89204	-0.73930578	SLC22A4	solute carrier family 22 member 4
ILMN_1745820	0.0916	2.25e-04	5.489567	0.88899	0.8112662	RASSF6	Ras association domain family member 6
ILMN_1676336	0.0916	2.26e-04	-5.4878235	0.88678	-0.52933376	NCEH1	neutral cholesterol ester hydrolase 1
ILMN_2192072	0.0916	2.29e-04	-5.4793335	0.87601	-1.10572756	MMP7	matrix metallopeptidase 7
ILMN_2389794	0.0916	2.30e-04	5.4753418	0.87094	1.03583895	STK31	serine/threonine kinase 31
ILMN_1673522	0.0916	2.32e-04	-5.4689073	0.86276	-0.75538884	MOCOS	molybdenum cofactor sulfurase
ILMN_1692177	0.0916	2.33e-04	-5.4672291	0.86062	-0.66902946	TSC22D1	TSC22 domain family member 1
ILMN_2043079	0.0916	2.35e-04	5.4611736	0.85292	0.75057939	ILDR1	immunoglobulin like domain containing receptor 1
ILMN_1670325	0.0916	2.38e-04	5.4509076	0.83984	0.60061912	SLC47A1	solute carrier family 47 member 1
ILMN_2072101	0.0916	2.41e-04	-5.4439573	0.83098	-0.59761286	MGARP	mitochondria localized glutamic acid rich protein
ILMN_1749180	0.0916	2.41e-04	5.4435908	0.83051	0.51427856	ESRP1	epithelial splicing regulatory protein 1
ILMN_1752520	0.0916	2.44e-04	-5.4337811	0.81798	-0.54849689	SLFN11	schlafen family member 11
ILMN_1701032	0.0916	2.45e-04	5.4323685	0.81618	0.82861322	TFPI	tissue factor pathway inhibitor
ILMN_1719792	0.0916	2.46e-04	-5.4295265	0.81255	-0.57567217	PHLDB2	pleckstrin homology like domain family B member 2
ILMN_1689842	0.0918	2.48e-04	-5.4228234	0.80397	-0.72629256	MSMO1	methylsterol monooxygenase 1
ILMN_1700541	0.0924	2.52e-04	5.4131123	0.79154	1.77438116	FBLN1	fibulin 1
ILMN_1701613	0.0954	2.62e-04	-5.3867336	0.75768	-0.77304965	RARRES3	retinoic acid receptor responder 3
ILMN_1677764	0.0957	2.66e-04	5.3765362	0.74455	0.60787207		
ILMN_1684321	0.0957	2.67e-04	-5.3739497	0.74122	-0.44479287	CYB5B	cytochrome b5 type B
ILMN_1792404	0.0966	2.71e-04	5.3628727	0.72694	1.72678295	TM4SF4	transmembrane 4 L six family member 4
ILMN_2336609	0.0982	2.78e-04	-5.3467679	0.70614	-1.22622366	SYTL2	synaptotagmin like 2
ILMN_1799535	0.0996	2.84e-04	5.332467	0.68764	0.62850313	GJB1	gap junction protein beta 1
ILMN_1680925	0.1036	2.97e-04	5.3008623	0.64661	0.85721846	SLC9A3R1	SLC9A3 regulator 1
ILMN_2068104	0.1044	3.02e-04	-5.2899547	0.63241	-0.6688034	TFPI2	tissue factor pathway inhibitor 2
ILMN_1691376	0.1044	3.04e-04	-5.2862936	0.62764	-0.74533185	JAG1	jagged 1
ILMN_1694983	0.1049	3.08e-04	-5.2777615	0.61651	-0.41989611	DDX20	DEAD-box helicase 20
ILMN_1733756	0.1054	3.11e-04	-5.2704209	0.60693	-0.71456696	COL12A1	collagen type XII alpha 1 chain
ILMN_1705403	0.1068	3.17e-04	5.2568113	0.58913	0.45197137	CYP2S1	cytochrome P450 family 2 subfamily S member 1
ILMN_2261076	0.111	3.35e-04	-5.2195606	0.54026	-0.6270889	NEDD9	neural precursor cell expressed, developmentally down-regulated 9
ILMN_2113470	0.111	3.36e-04	5.2186504	0.53907	0.84209186	GSTA1	glutathione S-transferase alpha 1
ILMN_1732176	0.111	3.36e-04	5.2172951	0.53728	0.48720038	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2
ILMN_1790689	0.117	3.59e-04	5.1739292	0.48007	0.41560427	CRISPLD2	cysteine rich secretory protein LCCL domain containing 2
ILMN_1715476	0.117	3.60e-04	5.171504	0.47686	0.88670737		
ILMN_1766261	0.117	3.66e-04	5.1609041	0.46282	0.74394318	SLC2A12	solute carrier family 2 member 12
ILMN_2149226	0.117	3.67e-04	-5.159044	0.46036	-1.52378441	CAV1	caveolin 1
ILMN_1791916	0.117	3.70e-04	5.15338	0.45285	0.41169914	NR2E3	nuclear receptor subfamily 2 group E member 3
ILMN_2319424	0.117	3.72e-04	5.1495785	0.4478	0.43439137	GYG2	glycogenin 2
ILMN_1803862	0.117	3.77e-04	5.1408888	0.43626	0.70940895	LCN15	lipocalin 15
ILMN_1687235	0.117	3.79e-04	5.1374401	0.43168	0.71069458	HPN	hepsin
ILMN_1752526	0.117	3.80e-04	-5.1354157	0.42899	-0.82352604	RNF144B	ring finger protein 144B
ILMN_1654685	0.117	3.81e-04	-5.1348372	0.42822	-0.57891416	MCTP1	multiple C2 and transmembrane domain containing 1
ILMN_1722713	0.117	3.81e-04	5.133971	0.42706	1.95759459	FBLN1	fibulin 1
ILMN_2041222	0.1175	3.87e-04	5.1244433	0.41438	0.42102532		
ILMN_1705753	0.1175	3.90e-04	-5.1193304	0.40757	-0.42613972	CMSS1	cms1 ribosomal small subunit homolog (yeast)
ILMN_2352953	0.1175	3.91e-04	5.1165703	0.40389	0.54481298	CPM	carboxypeptidase M
ILMN_1652223	0.1175	3.94e-04	-5.1114054	0.39701	-0.54614978	WDR91	WD repeat domain 91
ILMN_1819854	0.1175	3.95e-04	-5.1103606	0.39561	-0.64896251		
ILMN_1914927	0.1199	4.05e-04	-5.0932583	0.37277	-0.6117804	MMP16	matrix metallopeptidase 16
ILMN_1806023	0.1211	4.12e-04	5.0824636	0.35833	0.61234645	JUN	Jun proto-oncogene, AP-1 transcription factor subunit
ILMN_1694400	0.1213	4.18e-04	-5.0725837	0.34509	-0.45591236	MSR1	macrophage scavenger receptor 1
ILMN_1681780	0.1213	4.19e-04	5.0706792	0.34253	0.65000492	MKX	mohawk homeobox
ILMN_2302757	0.1213	4.20e-04	5.0696982	0.34122	0.91206936	FCGBP	Fc fragment of IgG binding protein
ILMN_1723042	0.1222	4.26e-04	5.0609837	0.32952	0.5362871	CLDN3	claudin 3
ILMN_2131293	0.1235	4.33e-04	5.0498267	0.31453	0.72535292	ALG1L	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase like
ILMN_1794659	0.1257	4.43e-04	5.0344454	0.29383	0.50582909	FUT2	fucosyltransferase 2
ILMN_1755354	0.1264	4.48e-04	5.0272402	0.28412	0.5235851	YBX2	Y-box binding protein 2
ILMN_1814015	0.1288	4.59e-04	5.0107934	0.26191	0.54590289	CDH17	cadherin 17
ILMN_1692535	0.1312	4.72e-04	4.9935022	0.23852	0.58986874	DPP4	dipeptidyl peptidase 4
ILMN_1778010	0.1312	4.78e-04	-4.9847235	0.22662	-0.90966037	IL32	interleukin 32
ILMN_1658911	0.1312	4.85e-04	-4.9756934	0.21437	-0.49304041		
ILMN_1788942	0.1312	4.85e-04	4.9754799	0.21408	0.44760242	GGT6	gamma-glutamyltransferase 6
ILMN_1756937	0.1312	4.85e-04	-4.9753491	0.2139	-0.69214151	ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4
ILMN_1807300	0.1312	4.86e-04	-4.9736037	0.21153	-0.52326718	PKD2	polycystin 2, transient receptor potential cation channel
ILMN_1744611	0.1312	4.87e-04	-4.9729879	0.2107	-0.46506955	DCAF13	DDB1 and CUL4 associated factor 13
ILMN_1759012	0.1316	4.91e-04	4.9671769	0.2028	0.4994096	PPP1R1B	protein phosphatase 1 regulatory inhibitor subunit 1B
ILMN_1913858	0.1337	5.03e-04	-4.9509722	0.18076	-0.44149373	LINC01629	long intergenic non-protein coding RNA 1629
ILMN_1720623	0.1337	5.04e-04	-4.9500915	0.17956	-0.53959983	SYTL3	synaptotagmin like 3
ILMN_2401641	0.134	5.08e-04	4.9448166	0.17237	0.42026713	ALDH3A2	aldehyde dehydrogenase 3 family member A2
ILMN_1734707	0.1341	5.11e-04	4.9404319	0.16639	0.48044453	CHST13	carbohydrate sulfotransferase 13
ILMN_2052373	0.1341	5.14e-04	4.9375729	0.16249	0.61989687	RAB17	RAB17, member RAS oncogene family
ILMN_1674064	0.1352	5.21e-04	-4.9283223	0.14987	-0.50236085	ZNF225	zinc finger protein 225
ILMN_1674380	0.1372	5.34e-04	-4.9117254	0.12718	-0.40464716	TRPC1	transient receptor potential cation channel subfamily C member 1
ILMN_1674941	0.1372	5.36e-04	-4.9101315	0.125	-0.43679552	ANO6	anoctamin 6
ILMN_2174711	0.1372	5.38e-04	4.9070235	0.12074	0.68580194		
ILMN_1708672	0.1372	5.40e-04	-4.9052891	0.11837	-0.64895328	ACAT2	acetyl-CoA acetyltransferase 2
ILMN_1739645	0.1411	5.58e-04	-4.8836088	0.08863	-0.56536369	ANLN	anillin actin binding protein
ILMN_1763837	0.1428	5.68e-04	4.8724768	0.07333	2.06914797	ANPEP	alanyl aminopeptidase, membrane
ILMN_2088876	0.1445	5.77e-04	4.8616142	0.05838	1.37971864	MAGEC2	MAGE family member C2
ILMN_1678095	0.1466	5.90e-04	4.8480422	0.03968	0.58049091	SMPDL3B	sphingomyelin phosphodiesterase acid like 3B
ILMN_1772951	0.1466	5.94e-04	4.8435941	0.03354	0.77862714	ST6GALNAC1	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1
ILMN_1773742	0.1466	5.97e-04	-4.8398406	0.02836	-0.43288798	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9
ILMN_1705814	0.1466	6.01e-04	-4.8360864	0.02317	-0.95733326	KRT80	keratin 80
ILMN_1745501	0.1466	6.01e-04	4.835944	0.02297	0.66172909	DNALI1	dynein axonemal light intermediate chain 1
ILMN_1738816	0.148	6.09e-04	4.8265941	0.01005	0.44355132	FOXO1	forkhead box O1
ILMN_1759513	0.149	6.18e-04	-4.8173482	-0.00275	-0.91575253	RND3	Rho family GTPase 3
ILMN_2332553	0.149	6.20e-04	-4.8158957	-0.00476	-0.54163341	MSRB3	methionine sulfoxide reductase B3
ILMN_2188722	0.1499	6.29e-04	-4.806704	-0.01749	-0.57478452	GLS	glutaminase
ILMN_2383934	0.1499	6.30e-04	-4.8053539	-0.01937	-0.42626334		
ILMN_1689037	0.1525	6.44e-04	-4.7913169	-0.03885	-0.75274721	LIPG	lipase G, endothelial type
ILMN_1663519	0.1532	6.51e-04	-4.7836796	-0.04946	-0.81164143	SLC24A3	solute carrier family 24 member 3
ILMN_1811301	0.1532	6.58e-04	-4.7767757	-0.05907	-0.41255682	INPP5E	inositol polyphosphate-5-phosphatase E
ILMN_2410924	0.1532	6.60e-04	-4.7749177	-0.06165	-0.42666323	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
ILMN_1793474	0.1532	6.61e-04	-4.7740805	-0.06282	-0.66146922	INSIG1	insulin induced gene 1
ILMN_1741970	0.1532	6.62e-04	4.7731009	-0.06418	0.47159377	JUP	junction plakoglobin
ILMN_1770663	0.1533	6.66e-04	-4.7692799	-0.0695	-0.54362513	KRT24	keratin 24
ILMN_1735996	0.1536	6.71e-04	-4.7646801	-0.07591	-1.02913792	NOX4	NADPH oxidase 4
ILMN_1652631	0.1536	6.78e-04	-4.7579041	-0.08536	-0.71083357	GLIPR2	GLI pathogenesis related 2
ILMN_1699354	0.1536	6.80e-04	-4.7558468	-0.08823	-0.52262803	EPHA2	EPH receptor A2
ILMN_1678579	0.1536	6.81e-04	4.7554852	-0.08873	0.52157896	CPT2	carnitine palmitoyltransferase 2
ILMN_2378376	0.1536	6.83e-04	4.7528302	-0.09244	0.48720569	CYB561	cytochrome b561
ILMN_1796629	0.1536	6.86e-04	-4.7502987	-0.09597	-0.39173564	EDNRA	endothelin receptor type A
ILMN_2309156	0.1541	6.91e-04	-4.7454057	-0.10281	-0.84618728	PMEPA1	prostate transmembrane protein, androgen induced 1
ILMN_1703913	0.1553	7.02e-04	4.7355641	-0.11656	0.5134742	DST	dystonin
ILMN_1705750	0.1553	7.08e-04	-4.7299188	-0.12446	-0.95320871	TGM2	transglutaminase 2
ILMN_2374449	0.1553	7.09e-04	-4.7294972	-0.12505	-1.93829137	SPP1	secreted phosphoprotein 1
ILMN_1667796	0.1553	7.13e-04	-4.7255665	-0.13055	-1.08539993	HBA2	hemoglobin subunit alpha 2
ILMN_1678535	0.1553	7.16e-04	4.7231733	-0.13391	0.54511546	ESR1	estrogen receptor 1
ILMN_1788022	0.1553	7.20e-04	4.7194649	-0.1391	0.53432621	CDKAL1	CDK5 regulatory subunit associated protein 1 like 1
ILMN_1805750	0.1553	7.21e-04	-4.7184859	-0.14047	-0.55527343	IFITM3	interferon induced transmembrane protein 3
ILMN_1731073	0.1553	7.22e-04	4.7172597	-0.14219	0.85052401	CAPN9	calpain 9
ILMN_1718766	0.1553	7.27e-04	-4.7130907	-0.14804	-0.56492012	MT1F	metallothionein 1F
ILMN_1656373	0.1553	7.29e-04	-4.7116304	-0.15008	-0.50269742	BNC2	basonuclin 2
ILMN_1659610	0.1567	7.40e-04	4.7016287	-0.16412	0.75693883		
ILMN_2063168	0.1567	7.45e-04	4.6975214	-0.16989	0.61101522	MALL	mal, T-cell differentiation protein like
ILMN_1655842	0.1567	7.50e-04	-4.6932633	-0.17588	-0.51463601		
ILMN_1802888	0.1567	7.51e-04	4.6925484	-0.17688	0.51974326	ZNF185	zinc finger protein 185 (LIM domain)
ILMN_1695311	0.1567	7.57e-04	4.6875813	-0.18387	0.50660525	HLA-DMA	major histocompatibility complex, class II, DM alpha
ILMN_1704063	0.1567	7.60e-04	4.684501	-0.1882	0.40766112	KCNH3	potassium voltage-gated channel subfamily H member 3
ILMN_1803855	0.1567	7.61e-04	4.6841282	-0.18872	0.39892778	FAIM2	Fas apoptotic inhibitory molecule 2
ILMN_1694034	0.1567	7.61e-04	4.6838943	-0.18905	0.6595914	LGALS4	galectin 4
ILMN_1768646	0.1578	7.73e-04	4.6741354	-0.2028	0.58345507		
ILMN_1672738	0.1578	7.73e-04	-4.6737936	-0.20328	-0.99609358		
ILMN_1719250	0.1578	7.78e-04	4.669613	-0.20917	0.58431106	SLC44A4	solute carrier family 44 member 4
ILMN_1691717	0.1578	7.79e-04	4.6687943	-0.21032	0.43959099	RHBDF2	rhomboid 5 homolog 2
ILMN_2405156	0.1583	7.88e-04	4.6614738	-0.22065	0.5107774	PLPP2	phospholipid phosphatase 2
ILMN_1733811	0.1583	7.92e-04	4.6587101	-0.22455	0.77842303	JUP	junction plakoglobin
